Username,Freq(11pm-6am),Freq(6am-11pm),Total Freq
0,FranQuintanilla,0.0,1.0,1.0
1,superxleyley,1.0,0.0,1.0
2,muserine,1.0,0.0,1.0
3,onemanrock,0.0,1.0,1.0
4,MammaSteph,0.0,1.0,1.0
5,Geidner,0.0,1.0,1.0
6,mollymcxc,0.0,1.0,1.0
7,jess_lawes,0.0,1.0,1.0
8,Heddyy,0.0,1.0,1.0
9,sheilal1,0.0,1.0,1.0
10,sumitmenon,2.0,0.0,2.0
11,GGSophie,0.0,1.0,1.0
12,ToiWeezy,0.0,1.0,1.0
13,whitneyannabel,0.0,1.0,1.0
14,tennischick38,1.0,1.0,2.0
15,cnlwsu,1.0,0.0,1.0
16,zelchamaa,1.0,0.0,1.0
17,Eric_at_Vlerick,0.0,1.0,1.0
18,TheRealJordin,0.0,1.0,1.0
19,MatthewCGoto,0.0,1.0,1.0
20,jelias27,1.0,0.0,1.0
21,KelseyRentchler,0.0,1.0,1.0
22,xoxoYaya,1.0,0.0,1.0
23,Benazir100,0.0,1.0,1.0
24,gudem,0.0,1.0,1.0
25,ClaudiaOropeza,0.0,1.0,1.0
26,ClaytonCalhoon,0.0,1.0,1.0
27,EarthFire,0.0,2.0,2.0
28,dadenisi,1.0,0.0,1.0
29,pookamachine,0.0,1.0,1.0
30,ErinJanus,0.0,1.0,1.0
31,C_Joy,0.0,2.0,2.0
32,giloi2009,0.0,4.0,4.0
33,Janen999,1.0,0.0,1.0
34,Artboredom,0.0,1.0,1.0
35,Hinn888,0.0,1.0,1.0
36,hannnnnnnah,1.0,1.0,2.0
37,romanstrobl,0.0,1.0,1.0
38,marakristina,0.0,1.0,1.0
39,jemjem1983,1.0,1.0,2.0
40,KevinEdwardsJr,4.0,1.0,5.0
41,marclamonthill,0.0,1.0,1.0
42,Gem_Meg,0.0,1.0,1.0
43,dianavi,0.0,1.0,1.0
44,chris0102,0.0,1.0,1.0
45,helena445,1.0,0.0,1.0
46,OhhMegg,1.0,0.0,1.0
47,melliehopkins,1.0,0.0,1.0
48,Hetty4Christ,0.0,2.0,2.0
49,Brazit,0.0,1.0,1.0
50,Doctor_Rob,0.0,2.0,2.0
51,Azza77,0.0,1.0,1.0
52,redmeansriot,0.0,1.0,1.0
53,dbtp,0.0,1.0,1.0
54,Meyer_Photo,0.0,1.0,1.0
55,mayhemstudios,1.0,2.0,3.0
56,lin_made_scotty,0.0,1.0,1.0
57,DebBennett555,0.0,1.0,1.0
58,euthiago,0.0,1.0,1.0
59,Hailee3,0.0,1.0,1.0
60,IamGlick,1.0,0.0,1.0
61,icarusforde,1.0,1.0,2.0
62,PlanFan,1.0,0.0,1.0
63,peppa13,0.0,1.0,1.0
64,hoda7,1.0,0.0,1.0
65,arobinsonuk,0.0,1.0,1.0
66,lovessunflowers,1.0,0.0,1.0
67,ZorkFox,1.0,0.0,1.0
68,noyolaface,1.0,0.0,1.0
69,shawty_rock,0.0,2.0,2.0
70,IzzySc,0.0,1.0,1.0
71,StarBreatherLuv,1.0,0.0,1.0
72,kellyzabel,0.0,1.0,1.0
73,AgingBackwards,0.0,1.0,1.0
74,earthxplorer,1.0,1.0,2.0
75,PeaceLovePalin,0.0,1.0,1.0
76,Sweena,1.0,0.0,1.0
77,ShortStack_24,1.0,0.0,1.0
78,LalaaMRCLover,0.0,1.0,1.0
79,iEhab,1.0,0.0,1.0
80,HiSkolerNextGen,0.0,1.0,1.0
81,StewartMoore,0.0,2.0,2.0
82,Justify_MyselF,0.0,1.0,1.0
83,mutedecoy,0.0,1.0,1.0
84,tweeteradder3,0.0,3.0,3.0
85,jennahmonet,0.0,1.0,1.0
86,Sleos15,0.0,1.0,1.0
87,miamstem,0.0,1.0,1.0
88,EmilyLynneClare,0.0,1.0,1.0
89,mads_x3,0.0,2.0,2.0
90,glaciermist06,0.0,1.0,1.0
91,thetalltree,0.0,1.0,1.0
92,florianooke,0.0,1.0,1.0
93,TPDaniel,0.0,1.0,1.0
